cleaned_text,label
Beliau yang mesra disapa Cikgu Yusof diumumkan sebagai penerima anugerah berkenaan pada majlis Apresiasi dan Kolokium Penyelidikan Pendidikan peringkat negeri di Hotel Mudzaffar di sini semalam dan turut dihadiri lebih kirakira  warga pendidik dari seluruh negeri,anger
Menerusi penganugerahan terbabit Cikgu Yusof yang berasal dari Kuala Sungai Baru Masjid Tanah menerima hadiah wang tunai RM sumbangan Bank Simpanan Nasional BSN dan RHB Bank kalung anugerah serta sijil penghargaan yang disampaikan Ketua Menteri Datuk Seri Ab Rauf Yusoh,anger
Yang turut hadir EXCO Pendidikan Pengajian Tinggi dan Hal Ehwal Agama negeri Datuk Rahmad Mariman dan Timbalan Pengarah Pendidikan negeri Karim Tumin,anger
Pada majlis itu bekas Pegawai Pendidikan Melaka Tengah Abdul Halim Malek turut diumumkan sebagai penerima Tokoh Kepimpinan Pendidikan Negeri Melaka  sekali gus membawa pulang hadiah wang tunai RM kalung anugerah dan sijil penghargaan,anger
Cikgu Yusof pernah dinobatkan sebagai Tokoh Puisi Kebangsaan peringkat negeri tahun lalu selain dipilih sebagai Tokoh Guru peringkat Maktab Perguruan Perempuan Melayu Melaka MPPM pada  Beliau turut aktif menulis  buku ilmiah antaranya Anak Kera yang diterbitkan pada  selain Bumi Bertuah Ini  dan Merenung Bulan,anger
Ketika ditemui beliau bersyukur dan berterima kasih kepada kerajaan negeri serta Jabatan Pendidikan negeri yang memilih beliau untuk menerima anugerah Tokoh Guru tahun ini,anger
Saya ada pesanan buat golongan pendidik iaitu jangan sesekali berusaha untuk terus belajar walau pun mereka sudah menjadi guru tetapi jangan pernah berhenti untuk belajar,anger
Saya tidak mahu mereka ketinggalan dalam cabaran hari ini yang semakin mencabar,anger
Pendidikan itu akan menjadi usang serta ketinggalan zaman dan guru harus kejar dan lengkapkan diri dengan ilmu baharu supaya mereka tidak terus ketinggalan dalam dunia yang semakin canggih masa kini dan akan datang katanya,sadness
Sementara itu Ab Rauf berkata kerajaan negeri berbesar hati dan mengucapkan tahniah kepada semua penerima terbabit selain berharap warga pendidik supaya terus melakar kecemerlangan demi sistem pendidikan di negeri ini,anger
Semoga penganugerahan ini juga dapat dijadikan inspirasi kepada warga pendidik lain untuk terus berusaha meningkatkan prestasi dalam mendidik anak bangsa katanya,anger
Ketua Menteri Datuk Seri Ab Rauf Yusoh menyampaikan hadiah kepada Tokoh Guru Melaka  Mat Yusof Mat Yatim empat dari kanan dan Abdul Halim Malek tiga dari kanan,anger
Foto NSTPAmir Mamat,anger
pelajar termasuk bukan Islam terima biasiswa Yayasan Waqaf Malaysia KUALA LUMPUR Yayasan Waqaf Malaysia YWM menyediakan biasiswa berjumlah RM kepada  pelajar dalam kalangan B dan M bagi melanjutkan pengajian di peringkat diploma,anger
Menteri di Jabatan Perdana Menteri Hal Ehwal Agama Datuk Dr Mohd Naim Mokhtar berkata bantuan menerusi Program Biasiswa AlFalah Madani itu adalah lambang komitmen pihaknnya dalam mengangkat nilai wakaf sebagai pemangkin pendidikan negara,fear
Beliau yang juga Pengerusi Lembaga Pemegang Amanah YWM berkata biasiswa itu juga adalah program dibawah satu daripada produk myWaqafPTPTN,anger
Selain mahasiswa dari keluarga asnaf yang disahkan oleh Majlis Agama Islam Negeri penerima manfaat program ini juga adalah terdiri daripada mahasiswa keluarga B dan M yang tidak terhad kepada beragama Islam sahaja,surprise
Di sinilah kita dapat melihat betapa indahnya wakaf apabila manfaatnya boleh dinikmati oleh masyarakat,anger
Hari ini anda bukan sekadar penerima bantuan tetapi juga membawa amanah pewakaf dan penyumbang katanya kepada selepas menyampaikan Biasiswa AlFalah Madani di sini semalam,anger
Mohd Naiim berkata penerima biasiswa berkenaan perlu memperoleh kejayaan sebagai balasan kepada setiap sen dan kepercayaan yang diberikan oleh penyumbang,anger
Gunakan peluang ini untuk mencipta masa depan yang cemerlang bukan hanya untuk diri sendiri tetapi juga untuk keluarga masyarakat dan negara,anger
Jadikan biasiswa ini sebagai batu loncatan untuk melakar kejayaan yang membanggakan,anger
Ingatlah ilmu yang diperoleh dengan keberkatan akan membawa manfaat yang jauh lebih besar daripada yang kita bayangkan katanya,anger
Sementara itu penerima biasiswa Kalvindra  Kasava  bersyukur dengan pemberian biasiswa berkenaan kerana ia dapat menampung pengajiannya di Universiti Pertahanan Nasional Malaysia UPNM,love
Ibu bapa saya mendapat maklumat mengenai biasiswa ini daripada aplikasi WhatsApp jadi mereka minta saya memohon,love
Saya tidak sangka dipilih sebagai penerima dan sangat berterima kasih kepada pihak berkaitan kerana dengan biasiswa ini ia sangat membantu pelajar yang kurang berkemampuan seperti saya katanya yang mengambil jurusan Pengurusan Logistik,anger
Seorang lagi penerima Alyaa Afifah  berkata ketika menerima maklumat mendapat biasiswa berkenaan beliau tidak percaya dan menganggap ia sebagai cubaan penipuan atas talian,love
Mereka pada mulanya hanya menghantar pesanan ringkas kepada saya jadi saya tidak percaya kerana ingatkan ia scam,anger
Tapi apabila pihak berkenaan menghubungi dan menerangkan secara lanjut mengenai biasiswa ini barulah saya percaya,anger
Saya sangat bersyukur kerana biasiswa ini dapat bantu saya ketika pengajian kerana keluarga saya bukannya dari golongan yang senang katanya,anger
Menteri di Jabatan Perdana Menteri Hal Ehwal Agama Datuk Mohd Naim Mokhtar tengah bersama penerima biasiswa pada Majlis Penyampaian Biasiswa AlFalah Madani di bawah produk myWaqafPTPTN di ibu negara hari ini,fear
Foto NSTPRohanis Shukri,anger
Kenderaan yang terjejas banjir kilat di Presint  dapat bantuan RM PUTRAJAYA Pemilik kepada kenderaan yang terjejas dalam banjir kilat berhampiran Sekolah Menengah Kebangsaan Agama SMKA Presint  di sini kelmarin akan diberikan bantuan RM  setiap seorang,anger
Menteri di Jabatan Perdana Menteri Wilayah Persekutuan Dr Zaliha Mustafa berkata sebanyak  kenderaan disahkan terbabit dalam bencana itu,fear
Menurutnya banjir kilat itu berpunca daripada hujan lebat di bahagian hulu hingga menyebabkan Sungai Anak Gajah naik sebelum melimpah ke kawasan rendah akibat tersekat,happy
Katanya Perbadanan Putrajaya PPj juga akan membina parkir interim yang boleh memuatkan kirakira  kenderaan sebagai tindakan jangka pendek,anger
Saya sudah minta PPj untuk selesaikan masalah ini dalam tempoh dua minggu katanya menerusi akaun Facebook miliknya selepas mengadakan lawatan ke kawasan banjir kilat itu petang semalam,anger
Media terdahulu melaporkan beberapa kenderaan penduduk yang diparkir berhampiran SMKA Presint  ditenggelami banjir kilat susulan hujan lebat,anger
Menerusi satu video yang tular di media sosial memaparkan kejadian banjir kilat yang berlaku sekitar kawasan itu kirakira jam  petang disebabkan kadar hujan yang turun tiga kali ganda dari taburan hujan biasa,anger
Putrajaya Hujan lebat kirakira satu jam bermula pukul  petang tadi menyebabkan kirakira  kenderaan terperangkap dalam kejadian banjir di Presint  Zon A hari ini,anger
JBPM PutrajayaBernamaNews pic,anger
twittercomjlAmHdrlda  BERNAMA bernamadotcom December   Terdapat kirakira  rumah di kawasan ini dengan anggaran penduduk sekitar  orang,anger
Zaliha berkata beliau juga meminta PPj untuk menyediakan sistem amaran penggunaan siren yang boleh memberi isyarat kepada penduduk di kawasan itu untuk mengalihkan kenderaan sekiranya berlaku banjir kilat,anger
Menurutnya ia boleh dilaksanakan menggunakan Internet of Things IoT di mana sensor akan dipasang di petakpetak penyelenggaraan saliran di seluruh pusat pentadbiran kerajaan di sini bagi mengesan tahap ketinggian air,anger
Katanya walaupun aliran air di kawasan perumahan ini menggunakan sistem culvert besar namun dalam keadaan cuaca tidak menentu hingga menyebabkan hujan lebat secara tibatiba menyebabkan ia tidak dapat menampung kapasiti air  banyak,fear
Untuk jangka masa panjang kita perlu bekerjasama rapat dengan Jabatan Pengairan dan Saliran JPS untuk melihat kembali sistem saliran di sini,happy
Sekiranya didapati memang tidak dapat menampung tindakan menambahbaik perlu diadakan bagi mengelak perkara yang sama berulang katanya,happy
Zaliha berkata beliau juga melihat ada kemungkinan untuk pihaknya memikirkan lebih jauh ke hadapan dengan meneroka sistem yang lebih maju untuk pembangunanpembangunan baru,anger
Katanya sistem itu seperti konsep bandar span dan kolam takungan bawah tanah,anger
Bagaimanapun ia memerlukan kajian yang teliti sebelum dilaksanakan sebagai dasar baharu pembangunan di sini katanya,anger
Beberapa kenderaan ditenggelami air akibat banjir kilat berhampiran SMKA Presint  Putrajaya kelmarin,anger
Foto ihsan pembaca,anger
Imigresen sahkan  pegawainya ditahan SPRM berkaitan integriti KUALA LUMPUR Jabatan Imigresen  Imigresen mengesahkan Suruhanjaya Pencegahan Rasuah Malaysia SPRM menahan tiga pegawainya berkaitan dakwaan pelanggaran integriti,anger
Menurut Imigresen pihaknya bagaimanapun menyerahkan kepada SPRM untuk menjalankan siasatan lanjut dan bersedia memberikan kerjasama sepenuhnya dengan telus dan adil berhubung penahanan tiga pegawainya itu,anger
Imigresen hadir ke Ibu Pejabat Imigresen Negeri Johor untuk menjalankan siasatan lanjut dan menahan tiga pegawai berkaitan dakwaan pelanggaran integriti,anger
Operasi ini dilaksanakan secara bersama antara pihak SPRM dengan Imigresen,anger
Dalam hal ini Imigresen tidak akan berkompromi terhadap manamana pegawai yang terbukti melakukan salah laku pelanggaran integriti,anger
Tindakan tegas akan diambil tanpa mengira pangkat atau jawatan katanya dalam satu kenyataan malam tadi,anger
Pada masa sama menurut Imigresen pihaknya memandang serius dan sentiasa komited dalam memastikan tiada pelanggaran integriti,anger
Katanya ia adalah selaras dengan fokus utama Imigresen iaitu meningkatkan tatakelola tadbir urus disiplin dan integriti bagi meningkatkan imej serta reputasi jabatan supaya kembali dihormati dan disegani,anger
Terdahulu media melaporkan empat individu ditahan kerana disyaki terbabit dalam aktiviti rasuah dan pengubahan wang haram berkaitan penyalahgunaan permohonan visa asing berjumlah RM juta,anger
Tiga suspek membabitkan pegawai kanan Imigresen Johor termasuk seorang wanita manakala individu keempat dipercayai seorang pengarah syarikat yang terbabit dalam pembekalan peralatan pejabat termasuk peralatan elektrik dan elektronik alat keselamatan perkhidmatan pembersihan pejabat serta bangunan,anger
Difahamkan pegawai imigresen wanita berusia  tahun itu ditahan selama  jam sebelum dibebaskan manakala tiga lagi suspek termasuk ahli perniagaan dijangka direman hari ini,anger
Pegawai imigresen itu ditahan di ibu pejabat SPRM Johor manakala pengarah syarikat ditahan di kawasan Rehat dan Rawat RR Seremban Negeri Sembilan,anger
Ibu Pejabat Suruhanjaya Pencegahan Rasuah SPRM,anger
Foto fail NSTP,anger
RUU Perkongsian Data  dibentang di Parlimen hari ini KUALA LUMPUR Rang UndangUndang RUU Perkongsian Data  yang antara lain bagi mengawal selia perkongsian data dan penyimpanan awan antara agensi kerajaan akan dibentangkan di Parlimen hari ini,anger
Pengerusi Jawatankuasa Pilihan Khas bagi Infrastruktur Pengangkutan dan Komunikasi Yusuf Wahab berkata RUU itu juga adalah mengurangkan kos penyimpanan data dan mengelakkan pertindihan penyimpanan data dalam sektor awam,happy
Katanya RUU itu juga akan meningkatkan pemantauan data dalam sektor awam,anger
RUU Perkongsian Data  yang dinantinantikan oleh Kementerian Digital akan dibentangkan di Dewan Rakyat esok hari ini,fear
Pembentangan RUU ini tepat pada masanya bagi memastikan transformasi digital negara berada di landasan yang betul katanya melalui kenyataan semalam,anger
Pada masa sama Yusuf yang juga Ahli Parlimen Tanjong Manis berkata RUU itu menawarkan beberapa manfaat lain termasuk pengumpulan data yang akan membantu kerajaan memperkenalkan dasar berasaskan bukti,anger
Beliau berkata ia juga akan mengelakkan pertindihan penyimpanan data antara agensi sekali gus membantu menjimatkan masa dan kos,love
Katanya penggunaan data bersama melalui platform sumber terbuka juga akan membantu menggalakkan inovasi dan kerjasama antara agensi bagi meningkatkan perkhidmatan,anger
Saya mempengerusikan mesyuarat jawatankuasa pilihan khas pada  Disember lalu di mana kami diberikan taklimat mengenai RUU ini oleh pegawai kanan Kementerian Digital yang diketuai oleh Timbalan Ketua Setiausaha Pembangunan Digital Ma Sivanesan Marimuthu,anger
Sesi ini membolehkan ahli jawatankuasa pilihan khas termasuk Ahli Parlimen Klang V Ganabatirau dan Ahli Parlimen Bakri Tan Hong Pin mendapatkan maklumat mengenai rasional RUU ini dari perspektif undangundang dan dasar,anger
Kami berharap RUU baharu ini dapat mempercepatkan inisiatif kerajaan untuk mendigitalkan dan menganalisis data sekali gus membantu meningkatkan ekonomi digital negara katanya,surprise
Bangunan Parlimen Kuala Lumpur,anger
Foto fail NSTP,anger
Terengganu mula dilanda banjir gelombang kedua  mangsa banjir di enam negeri KUALA LUMPUR Terengganu mula dilanda banjir gelombang kedua susulan amaran hujan lebat berterusan apabila  mangsa daripada  keluarga ditempatkan di  pusat pemindahan sementara PPS di daerah Kemaman,anger
Laman sesawang Info Bencana JKM melaporkan setakat jam  pagi  mangsa banjir daripada  keluarga ditempatkan di  PPS di enam negeri termasuk Terengganu,anger
Di Negeri Sembilan  mangsa banjir daripada  keluarga ditempatkan di tiga PPS di daerah Tampin manakala di Johor pula  mangsa daripada  keluarga di empat PPS di daerah Segamat dan Tangkak,anger
Keadaan banjir di Perak pula membabitkan  mangsa daripada  keluarga yang ditempatkan di tiga PPS di daerah Kinta dan Perak Tengah sementara di Pahang  keluarga daripada  keluarga di empat PPS di daerah Maran,fear
Di Melaka keadaan banjir tidak berubah apabila  orang daripada  keluarga di empat PPS di daerah Jasin,anger
Foto BERNAMA,anger
Kerjasama strategik kunci kejayaan transformasi Jabatan Imigresen USAHA Jabatan Imigresen memperkenalkan pelbagai inisiatif baharu bagi menangani jenayah counter setting seperti dijelaskan Ketua Pengarahnya Datuk Zakaria Shaaban dalam temu bual eksklusif bersama akhbar ini sememangnya tindakan wajib diambil,anger
Tindakan proaktif seperti penubuhan pasukan pemantau pemasangan autogate penggunaan teknologi kecerdasan buatan AI dan pemasangan sistem kamera litar tertutup CCTV adalah isyarat daripada jabatan itu untuk memperkukuh integriti pintu masuk negara,anger
Langkah ini bukan sahaja dapat menambah baik pengurusan sempadan malah mengukuhkan keyakinan rakyat terhadap keselamatan negara,anger
Di sebalik kepentingan teknologi canggih seperti Sistem Imigresen Bersepadu Nasional NIISe dijangka menjadi penyelesaian jangka panjang keberkesanan inisiatif ini tetap bergantung pada faktor manusia,anger
Jenayah counter setting tidak berlaku secara automatik sebaliknya mudah terjadi akibat ada individu atau sekumpulan yang menyalahgunakan kuasa demi keuntungan peribadi,anger
Justeru usaha membanteras jenayah ini memerlukan pendekatan holistik mengimbangi teknologi dengan integriti manusia,anger
Pertama aspek pemantauan mesti dilaksanakan secara menyeluruh dan berterusan,anger
Penubuhan pasukan pemantau yang membuat semak rambang terhadap kakitangan bertugas di kaunter pintu masuk utama negara dan pengembara asing seperti di Lapangan Terbang Antarabangsa Kuala Lumpur KLIA adalah langkah awal yang baik,anger
Namun keberkesanan pemantauan bergantung pada latihan dan integriti pegawai serta anggota ditugaskan,anger
Malah Jabatan Imigresen perlu memastikan pasukan pemantau dilengkapi kemahiran dan integriti tinggi sekali gus mempunyai mekanisme ampuh untuk mengelakkan kompromi,anger
Selain itu proses pusingan kerja pegawai imigresen perlu diteruskan selepas tindakan diambil sejak  membabitkan seramai  pegawai di Pejabat Imigresen KLIA bagi mengelakkan mereka terlalu lama berada di satu lokasi sekali gus diperluas kepada pintu masuk lain,anger
Langkah ini penting untuk mencegah pembentukan rangkaian jenayah dalam kalangan pegawai dan kakitangannya namun ia harus digabungkan dengan penilaian prestasi dan psikologi yang menyeluruh selain perlu diperkemas dari semasa ke semasa,anger
Pada masa sama kerjasama strategik dengan agensi penguatkuasaan lain seperti Suruhanjaya Pencegahan Rasuah Malaysia SPRM juga perlu dipertingkatkan,fear
Contohnya operasi risikan bersama SPRM pada September lalu berjaya membongkar sindiket besar membabitkan kakitangan imigresen,love
Selain operasi berterusan kerjasama ini boleh diperluaskan untuk membabitkan agensi lain seperti polis dan pihak berkuasa tempatan manakala orang ramai perlu menjadi mata dan telinga,anger
Dalam konteks ini aspek pendidikan dan kesedaran awam tidak boleh diabaikan,anger
Justeru kita menyambut baik kesediaan Jabatan Imigresen untuk bekerjasama dengan media kerana melihat peranan penting dalam menyampaikan maklumat mengenai transformasinya sekali gus ketelusan ini dapat menanamkan keyakinan rakyat terhadap usaha dilaksanakan,anger
Kerjasama dengan Media Prima Berhad Media Prima adalah contoh positif bagaimana jabatan kerajaan boleh memanfaatkan kuasa keempat atau fourth estate untuk melengkapkan proses reformasi dengan berkesan,anger
Kewujudan Titah Adendum peningkatan kos perubatan antara tumpuan Dewan Rakyat hari ini KUALA LUMPUR Peningkatan kos perubatan serta kewujudan Titah Adendum berkaitan keputusan Lembaga Pengampunan Wilayah Persekutuan kali ke membabitkan Datuk Seri Najib Razak antara tumpuan Dewan Rakyat hari ini,anger
Menurut Aturan Urusan Mesyuarat Suhaizan Kaiat PHPulai bertanyakan Perdana Menteri mengenai langkah kerajaan mengatasi masalah kenaikan premium insurans perubatan antara  hingga  peratus dan peningkatan kos perubatan sebanyak  peratus pada  yang lebih dua kali ganda berbanding purata global  peratus pada sesi Waktu PertanyaanPertanyaan Menteri,anger
Dalam sesi sama Perdana Menteri turut dijadualkan menjawab soalan Datuk Seri Takiyuddin Hassan PNKota Bharu mengenai kewujudan Titah Adendum berkaitan keputusan Lembaga Pengampunan Wilayah Persekutuan kali ke pada  Januari lalu membabitkan permohonan pengampunan oleh Najib,anger
Sementara itu Dr Radzi Jidin PNPutrajaya pada sesi soal jawab meminta Menteri Ekonomi menyatakan pelaksanaan subsidi bersasar bagi petrol dan menjelaskan pendekatan yang akan diambil kementerian bagi memastikan golongan terkesan menerima bantuan sewajarnya,fear
Turut menarik perhatian soalan Datuk Adnan Abu Hassan BNKuala Pilah yang meminta Menteri Sumber Manusia menyatakan statistik bagi pampasan hilang upaya yang dibayar oleh PERKESO bagi  serta usaha kementerian untuk mengekang kes tuntutan palsu,anger
Usai sesi itu persidangan diteruskan dengan bacaan kali pertama Rang UndangUndang Keselamatan dalam Talian  Rang UndangUndang Pemegang Amanah Pindaan  Rang UndangUndang Pemegang Amanah Pemerbadanan Pindaan  Rang UndangUndang Pencegahan Pengubahan Wang Haram Pencegahan Pembiayaan Keganasan dan Hasil Daripada Aktiviti Haram Pindaan  Rang UndangUndang Ordinan Buruh Sarawak Pindaan  dan Rang UndangUndang Perkongsian Data  Persidangan Dewan Rakyat kali ini berlangsung  hari bermula  Oktober hingga Khamis ini,anger
BERNAMA,anger
Banjir kilat di Presint  pemilik kenderaan ditenggelami air terima bantuan KUALA LUMPUR Sebanyak  pemilik kenderaan yang ditenggelami air dalam kejadian banjir kilat di Presint  Putrajaya kelmarin masingmasing menerima bantuan RM Menteri di Jabatan Perdana Menteri Wilayah Persekutuan Dr Zaliha Mustafa berkata Perbadanan Putrajaya juga akan membuat parkir interim yang memuatkan kirakira  kenderaan sebagai tindakan jangka pendek dan meminta pihak perbadanan menyelesaikannya dalam tempoh dua minggu,anger
Selain itu saya minta Perbadanan Putrajaya untuk menyediakan sistem amaran dengan penggunaan siren dan amaran kepada penduduk di kawasan itu untuk alihkan kenderaan dengan segera,anger
Ini boleh dilaksanakan dengan menggunakan Internet of Things IoT iaitu sensor akan dipasang di petak penyelenggaraan saliran di seluruh Putrajaya untuk mengesan tahap ketinggian air katanya dalam kenyataan di laman Facebook semalam,anger
Dr Zaliha berkata beliau dimaklumkan mengenai kejadian banjir kilat itu ketika berada di Labuan dan adalah yang pertama berlaku di kawasan berkenaan berikutan taburan hujan tinggi iaitu tiga kali ganda daripada taburan hujan biasa,anger
Dilaporkan  kenderaan rosak kesan daripada banjir kilat ini,anger
Kawasan perumahan ini agak besar,anger
Ada kirakira  rumah dengan anggaran penduduk sekitar  orang penduduk katanya yang turut hadir bagi melihat sendiri kawasan kejadian itu,anger
Menurut Dr Zaliha punca banjir disebabkan kesan hujan lebat di bahagian hulu dan air telah naik dari Sungai Anak Gajah menyebabkan aliran air tersekat mengakibatkan air melimpah di kawasan yang lebih rendah,happy
Aliran air di kawasan perumahan ini menggunakan sistem pembentung,anger
Walaupun besar keluasannya tetapi dalam keadaan cuaca tidak menentu hujan yang lebat tibatiba menyebabkan ia tidak dapat menampung kapasiti air terlalu banyak katanya,fear
Beliau berkata untuk jangka masa panjang pihaknya akan bekerjasama rapat dengan Jabatan Pengairan dan Saliran JPS untuk melihat kembali sistem saliran berkenaan,happy
Jika didapati memang tidak dapat menampung tindakan akan diambil untuk menambah baik bagi mengelakkan perkara sama berulang katanya,anger
Beliau berharap sistem yang lebih maju untuk pembangunan baru diteroka seperti konsep sponge city onsite stormwater detention OSD atau kolam takungan bawah tanah namun ia memerlukan kajian teliti sebelum dilaksanakan sebagai dasar baharu pembangunan di Putrajaya,anger
BERNAMA Perbadanan Putrajaya PPj dan Polis Diraja Malaysia PDRM serta orang awam membantu penduduk di Presint  Putrajaya memindahkan kenderaan mereka ke kawasan selamat,anger
Foto BERNAMA,anger
SPR teliti pelaksanaan kajian semula persempadanan di Sarawak KUALA LUMPUR Suruhanjaya Pilihan Raya SPR sedang mempertimbang dan meneliti kesesuaian untuk melaksanakan kajian persempadanan semula kawasan pilihan raya di Sarawak,anger
Kali terakhir Sarawak melakukan persempadanan semula kawasan pilihan raya ialah pada  membabitkan pertambahan  kerusi Dewan Undangan Negeri DUN,anger
Ia sekali gus menjadikan Sarawak mempunyai jumlah kawasan Dun paling banyak di negara ini dengan keseluruhan  kawasan manakala Parlimen pula sebanyak  Menteri di Jabatan Perdana Menteri UndangUndang dan Reformasi Institusi Datuk Seri Azalina Othman Said berkata penelitian itu dibuat selepas tempoh lat lapan tahun bagi Sarawak sudah berakhir pada tahun lalu,anger
Urusan kajian semula persempadanan terhadap bahagianbahagian pilihan raya sedia ada hanya boleh dilaksanakan selepas tamat lat tempoh lapan tahun atau terdapat pindaan undangundang ke atas komposisi bilangan keanggotaan Ahli Dewan Rakyat atau Dewan Undangan Negeri,happy
Bagi maksud itu lat tempoh lapan tahun bagi Sarawak sudah berakhir pada tahun  dan SPR sedang menimbang dan meneliti kesesuaian untuk melaksanakan urusan terbabit katanya,anger
Azalina berkata terdapat peruntukan ditetapkan Perlembagaan perlu dipatuhi berdasarkan prinsip persempadanan yang dipegang oleh SPR,anger
Pertama kemudahan diadakan bagi pemilih keluar mengundi semasa pilihan raya dan kedua pula mengambil kira kemudahan pentadbiran untuk pendaftaran dan pengundian,anger
Ketiga jumlah pemilih yang lebih kurang sama banyak bagi setiap bahagian pilihan raya dalam sesebuah negeri kecuali apabila terdapat kesukaran perhubungan dan pengangkutan yang dihadapi di luar bandar luas bahagian pilihan raya patut diberi pertimbangan,happy
Keempat mengekalkan hubungan masyarakat tempatan katanya dalam jawapan bertulis yang disiarkan di laman web Parlimen hari ini,fear
Beliau menjawab soalan dikemukakan oleh Dr Kelvin Yii Lee Wuen PHBandar Kuching yang meminta kerajaan menyatakan pelan tindakan dan garis masa SPR untuk mengkaji semula persempadanan bahagian pilihan raya di Sarawak,happy
